id,school,name_course,suitbale_job_course,average_score_course,language_course,register_course
1,Ho Chi Minh City University of Science,Introduction to Computer Science,Software Developer,6.2,Python,3/25/2022
2,Hanoi University of Science,Data Structures and Algorithms,Data Analyst,7.6,Java,5/20/2023
3,Thuy Loi University,Web Development Fundamentals,Front-end Developer,8.2,JavaScript,6/17/2023
4,Can Tho University,Database Management Systems,Database Administrator,6.7,SQL,8/9/2023
5,Vietnam National University Ho Chi Minh City - University of Science,Object-Oriented Programming,Software Engineer,7.8,C++,2/24/2023
6,Da Nang University of Science and Technology,Network Security,Network Security Specialist,7.1,C#,11/27/2022
7,Hanoi University of Science,Artificial Intelligence and Machine Learning,Machine Learning Engineer,6.7,Python,5/19/2022
8,University of Science - Vietnam National University Hanoi,Mobile App Development,Mobile App Developer,7.8,Swift,6/22/2022
9,Thuy Loi University,Cloud Computing,Cloud Solutions Architect,8.0,JavaScript,4/2/2022
10,Ho Chi Minh City University of Science,Software Engineering Principles,Full-stack Developer,8.8,Java,2/25/2022
11,University of Engineering and Technology - Vietnam National University Hanoi,Computer Graphics and Visualization,Cybersecurity Analyst,6.4,Python,8/26/2022
12,Duy Tan University,Operating Systems,Data Scientist,7.0,C,11/7/2023
13,Hai Phong University,Cybersecurity and Ethical Hacking,Systems Analyst,8.6,Python,8/3/2022
14,Hai Phong University,Data Science and Analytics,UI/UX Designer,8.3,Python,4/3/2023
15,Vietnam National University Hanoi - University of Engineering and Technology,Computer Networks,DevOps Engineer,8.3,Java,9/28/2023
16,Vietnam National University Hanoi - University of Engineering and Technology,Human-Computer Interaction,IT Project Manager,7.5,JavaScript,3/8/2022
17,Thai Nguyen University,Big Data Technologies,Network Administrator,6.1,Python,9/29/2022
18,Posts and Telecommunications Institute of Technology,Blockchain Technology,Blockchain Developer,8.6,Solidity,4/15/2023
19,Hanoi University of Science,Computer Vision,Computer Vision Engineer,8.4,Python,4/8/2023
20,Thai Nguyen University,Internet of Things (IoT),IoT Developer,8.6,Python,4/21/2023
21,Ho Chi Minh City University of Science,Introduction to Computer Science,Software Developer,8.2,Python,3/25/2022
22,Hanoi University of Science,Data Structures and Algorithms,Data Analyst,8.3,Java,5/20/2023
23,Thuy Loi University,Web Development Fundamentals,Front-end Developer,8.3,JavaScript,6/17/2023
24,Can Tho University,Database Management Systems,Database Administrator,8.4,SQL,8/9/2023
25,Vietnam National University Ho Chi Minh City - University of Science,Object-Oriented Programming,Software Engineer,8.4,C++,2/24/2023
26,Da Nang University of Science and Technology,Network Security,Network Security Specialist,8.5,C#,11/27/2022
27,Ho Chi Minh City University of Science,Introduction to Computer Science,Software Developer,8.6,Python,3/25/2022
28,Hanoi University of Science,Data Structures and Algorithms,Data Analyst,8.6,Java,5/20/2023
29,Thuy Loi University,Web Development Fundamentals,Front-end Developer,8.7,JavaScript,6/17/2023
30,Can Tho University,Database Management Systems,Database Administrator,8.7,SQL,8/9/2023
31,Vietnam National University Ho Chi Minh City - University of Science,Object-Oriented Programming,Software Engineer,8.8,C++,2/24/2023
32,Da Nang University of Science and Technology,Network Security,Network Security Specialist,8.8,C#,11/27/2022
33,Hanoi University of Science,Artificial Intelligence and Machine Learning,Machine Learning Engineer,8.9,Python,5/19/2022
34,University of Science - Vietnam National University Hanoi,Mobile App Development,Mobile App Developer,9.0,Swift,6/22/2022
35,Thuy Loi University,Cloud Computing,Cloud Solutions Architect,9.0,JavaScript,4/2/2022
36,Ho Chi Minh City University of Science,Introduction to Computer Science,Software Developer,9.1,Python,3/25/2022
37,Hanoi University of Science,Data Structures and Algorithms,Data Analyst,9.1,Java,5/20/2023
38,Thuy Loi University,Web Development Fundamentals,Front-end Developer,9.2,JavaScript,6/17/2023
39,Can Tho University,Database Management Systems,Database Administrator,9.2,SQL,8/9/2023
40,Vietnam National University Ho Chi Minh City - University of Science,Object-Oriented Programming,Software Engineer,9.3,C++,2/24/2023
41,Da Nang University of Science and Technology,Network Security,Network Security Specialist,9.3,C#,11/27/2022
42,Hanoi University of Science,Artificial Intelligence and Machine Learning,Machine Learning Engineer,9.4,Python,5/19/2022
43,University of Science - Vietnam National University Hanoi,Mobile App Development,Mobile App Developer,9.5,Swift,6/22/2022
44,Thuy Loi University,Cloud Computing,Cloud Solutions Architect,9.5,JavaScript,4/2/2022
45,Ho Chi Minh City University of Science,Software Engineering Principles,Full-stack Developer,9.6,Java,2/25/2022
46,University of Engineering and Technology - Vietnam National University Hanoi,Computer Graphics and Visualization,Cybersecurity Analyst,9.6,Python,8/26/2022
47,Duy Tan University,Operating Systems,Data Scientist,9.7,C,11/7/2023
48,Hai Phong University,Cybersecurity and Ethical Hacking,Systems Analyst,9.7,Python,8/3/2022
49,Hai Phong University,Data Science and Analytics,UI/UX Designer,9.8,Python,4/3/2023
50,Vietnam National University Hanoi - University of Engineering and Technology,Computer Networks,DevOps Engineer,9.9,Java,9/28/2023
